full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,124537,124537,20495,113,113,12,https://github.com/anthropics/claude-code
claude-code-best/claude-code,18387,18387,15850,28,28,14,https://github.com/claude-code-best/claude-code
affaan-m/everything-claude-code,186116,186116,28799,382,382,62,https://github.com/affaan-m/everything-claude-code
jarmuine/claude-code,2150,2150,5873,0,0,1,https://github.com/jarmuine/claude-code
yasasbanukaofficial/claude-code,3222,3222,4566,4,4,2,https://github.com/yasasbanukaofficial/claude-code
shareAI-lab/learn-claude-code,61097,61097,9994,105,105,18,https://github.com/shareAI-lab/learn-claude-code
codeaashu/claude-code,2631,2631,3319,7,7,4,https://github.com/codeaashu/claude-code
ChinaSiro/claude-code-sourcemap,9204,9204,14630,1,1,3,https://github.com/ChinaSiro/claude-code-sourcemap
tanbiralam/claude-code,1695,1695,2527,1,1,1,https://github.com/tanbiralam/claude-code
pengchengneo/Claude-Code,1366,1366,2343,5,5,3,https://github.com/pengchengneo/Claude-Code
RishabhK103/claude-code,82,82,7283,0,0,1,https://github.com/RishabhK103/claude-code
hesreallyhim/awesome-claude-code,44105,44105,3779,46,46,4,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,53505,53505,5362,61,61,6,https://github.com/shanraisshan/claude-code-best-practice
Alishahryar1/free-claude-code,25375,25375,3780,115,115,11,https://github.com/Alishahryar1/free-claude-code
musistudio/claude-code-router,34110,34110,2779,18,18,2,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,27388,27388,2795,8,8,1,https://github.com/davila7/claude-code-templates
LING71671/Open-ClaudeCode,838,838,1190,0,0,0,https://github.com/LING71671/Open-ClaudeCode
Onewon/claude-code,180,180,2277,0,0,1,https://github.com/Onewon/claude-code
oboard/claude-code-rev,3139,3139,3794,0,0,1,https://github.com/oboard/claude-code-rev
Donchitos/Claude-Code-Game-Studios,19097,19097,2796,34,34,8,https://github.com/Donchitos/Claude-Code-Game-Studios
VoltAgent/awesome-claude-code-subagents,20036,20036,2320,15,15,1,https://github.com/VoltAgent/awesome-claude-code-subagents
ponponon/claude_code_src,2238,2238,3500,1,1,-1,https://github.com/ponponon/claude_code_src
anthropics/claude-code-action,7629,7629,1839,6,6,1,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,10289,10289,1820,15,15,0,https://github.com/Piebald-AI/claude-code-system-prompts
liuup/claude-code-analysis,2562,2562,1646,9,9,4,https://github.com/liuup/claude-code-analysis
diet103/claude-code-infrastructure-showcase,9647,9647,1224,1,1,0,https://github.com/diet103/claude-code-infrastructure-showcase
T-Lab-CUHKSZ/claude-code,311,311,606,0,0,0,https://github.com/T-Lab-CUHKSZ/claude-code
frankbria/ralph-claude-code,9155,9155,697,1,1,0,https://github.com/frankbria/ralph-claude-code
pedrohcgs/claude-code-my-workflow,1106,1106,2280,2,2,8,https://github.com/pedrohcgs/claude-code-my-workflow
ykdojo/claude-code-tips,8337,8337,624,7,7,0,https://github.com/ykdojo/claude-code-tips
hangsman/claude-code-source,780,780,1748,0,0,0,https://github.com/hangsman/claude-code-source
chauncygu/collection-claude-code-source-code,2462,2462,2302,3,3,0,https://github.com/chauncygu/collection-claude-code-source-code
lintsinghua/claude-code-book,3308,3308,716,8,8,2,https://github.com/lintsinghua/claude-code-book
ChrisWiles/claude-code-showcase,5901,5901,555,0,0,0,https://github.com/ChrisWiles/claude-code-showcase
huangserva/claude-code-cli,585,585,1305,0,0,0,https://github.com/huangserva/claude-code-cli
OneRedOak/claude-code-workflows,3802,3802,560,1,1,0,https://github.com/OneRedOak/claude-code-workflows
alex000kim/claude-code,227,227,328,0,0,0,https://github.com/alex000kim/claude-code
nicedreamzapp/claude-code-local,2631,2631,512,0,0,0,https://github.com/nicedreamzapp/claude-code-local
1rgs/claude-code-proxy,3586,3586,467,3,3,1,https://github.com/1rgs/claude-code-proxy
xorespesp/claude-code,224,224,315,0,0,1,https://github.com/xorespesp/claude-code
wanshuiyin/Auto-claude-code-research-in-sleep,9799,9799,941,76,76,6,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
FlorianBruniaux/claude-code-ultimate-guide,4382,4382,580,3,3,1,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
lorryjovens-hub/claude-code-rust,1592,1592,629,0,0,1,https://github.com/lorryjovens-hub/claude-code-rust
zebbern/claude-code-guide,4136,4136,407,2,2,0,https://github.com/zebbern/claude-code-guide
VineeTagarwaL-code/claude-code,274,274,268,0,0,0,https://github.com/VineeTagarwaL-code/claude-code
disler/claude-code-hooks-mastery,3682,3682,615,1,1,0,https://github.com/disler/claude-code-hooks-mastery
777genius/claude-code-source-code,913,913,1111,0,0,0,https://github.com/777genius/claude-code-source-code
Maciek-roboblog/Claude-Code-Usage-Monitor,8000,8000,405,1,1,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
zstmfhy/Claude-code,190,190,285,1,1,0,https://github.com/zstmfhy/Claude-code
multica-ai/andrej-karpathy-skills,135044,135044,13819,820,820,89,https://github.com/multica-ai/andrej-karpathy-skills
kodu-ai/claude-coder,5277,5277,201,-1,-1,0,https://github.com/kodu-ai/claude-coder
anthropics/skills,136672,136672,16132,289,289,46,https://github.com/anthropics/skills
anthropics/claude-code-security-review,4637,4637,451,6,6,2,https://github.com/anthropics/claude-code-security-review
Yuyz0112/claude-code-reverse,2366,2366,406,0,0,0,https://github.com/Yuyz0112/claude-code-reverse
Windy3f3f3f3f/how-claude-code-works,2379,2379,572,1,1,0,https://github.com/Windy3f3f3f3f/how-claude-code-works
RichardAtCT/claude-code-telegram,2604,2604,382,1,1,0,https://github.com/RichardAtCT/claude-code-telegram
fuergaosi233/claude-code-proxy,2601,2601,381,1,1,0,https://github.com/fuergaosi233/claude-code-proxy
freestylefly/claude-code,125,125,298,0,0,0,https://github.com/freestylefly/claude-code
chiragjoshi12/claude-code,202,202,234,0,0,1,https://github.com/chiragjoshi12/claude-code
alejandrobalderas/claude-code-from-source,1935,1935,585,4,4,2,https://github.com/alejandrobalderas/claude-code-from-source
ding113/claude-code-hub,2861,2861,321,6,6,1,https://github.com/ding113/claude-code-hub
Cranot/claude-code-guide,2743,2743,305,5,5,0,https://github.com/Cranot/claude-code-guide
